16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 82 to Vm 2 in Host 0/DC 2.
16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 83 to Vm 3 in Host 0/DC 2.
16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 84 to Vm 4 in Host 0/DC 4.
16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 85 to Vm 5 in Host 0/DC 4.
16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 86 to Vm 6 in Host 0/DC 4.
16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 87 to Vm 7 in Host 0/DC 4.
16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 88 to Vm 8 in Host 0/DC 6.
16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 89 to Vm 9 in Host 0/DC 6.
16:17:42.994 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 90 to Vm 10 in Host 0/DC 6.
16:17:42.995 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 91 to Vm 11 in Host 0/DC 6.
16:17:42.995 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 92 to Vm 12 in Host 0/DC 8.
16:17:42.995 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 93 to Vm 13 in Host 0/DC 8.
16:17:42.995 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 94 to Vm 14 in Host 0/DC 8.
16:17:42.995 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 95 to Vm 15 in Host 0/DC 8.
16:17:42.995 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 96 to Vm 0 in Host 0/DC 2.
16:17:42.995 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 97 to Vm 1 in Host 0/DC 2.
16:17:42.995 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 98 to Vm 2 in Host 0/DC 2.
16:17:42.995 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 99 to Vm 3 in Host 0/DC 2.
16:17:42.995 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 100 to Vm 4 in Host 0/DC 4.
16:17:42.996 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 101 to Vm 5 in Host 0/DC 4.
16:17:42.996 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 102 to Vm 6 in Host 0/DC 4.
16:17:42.996 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 103 to Vm 7 in Host 0/DC 4.
16:17:42.996 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 104 to Vm 0 in Host 0/DC 2.
16:17:42.996 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 105 to Vm 1 in Host 0/DC 2.
16:17:42.996 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 106 to Vm 2 in Host 0/DC 2.
16:17:42.996 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 107 to Vm 3 in Host 0/DC 2.
16:17:42.998 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 108 to Vm 8 in Host 0/DC 6.
16:17:42.998 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 109 to Vm 9 in Host 0/DC 6.
16:17:42.999 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 110 to Vm 10 in Host 0/DC 6.
16:17:42.999 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 111 to Vm 11 in Host 0/DC 6.
16:17:42.999 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 112 to Vm 12 in Host 0/DC 8.
16:17:42.999 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 113 to Vm 13 in Host 0/DC 8.
16:17:42.999 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 114 to Vm 14 in Host 0/DC 8.
16:17:42.999 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 115 to Vm 15 in Host 0/DC 8.
16:17:42.999 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 116 to Vm 4 in Host 0/DC 4.
16:17:43.000 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 117 to Vm 5 in Host 0/DC 4.
16:17:43.000 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 118 to Vm 6 in Host 0/DC 4.
16:17:43.000 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 119 to Vm 7 in Host 0/DC 4.
